trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-61.28249352761336,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067554}",25,0,-111.96965903920862,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-147.36828800028286,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-133.65134944871897,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9512294245007139}",20,0,-124.51989403403446,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-176.04541123401202,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059482}",20,0,-72.3443230266672,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-23.183455021717876,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-60.47650467986254,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-151.3430669691629,"{0: 14, 1: 6, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-106.57602660905756,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-102.44466090909302,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205614}",20,0,-36.479746844649604,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988057}",25,0,-87.62867104334669,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-72.94966417968877,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",35,5,-51.20688198226768,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-76.3001066612056,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",30,0,-83.18965490574858,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-13.681346558426036,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,7,-10.664651122522946,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8105842459701872}",25,0,-177.9162669199811,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-12.104003565946252,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-87.03543214665605,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665534}",20,0,-47.90826170714638,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-58.68307831963674,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",35,0,-88.9433902376253,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368533}",25,6,-72.62872086344717,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 0}",1
