trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.75646306102678,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.12781997507733,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.91515354955465,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.46382573945522,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.495527349770285,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.81389011876091,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,8,-54.529607180298775,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.43810288616483,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,4,-58.303565485227324,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-251.605414091714,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.66096222295799,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-182.58438542177805,"{0: 22, 1: 3, 2: 5, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.14460453903482,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,11,-57.90163431248111,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.73241310076749,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-203.79798516712606,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.427978439873,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.87951487849318,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.09074398861546,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.28547967955686,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.66966849883862,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.65706491502777,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-161.3749719899045,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.74400913415573,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.79939558939205,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.31786051490705,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.97254733377665,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-171.745376568317,"{0: 10, 1: 6, 2: 5, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-267.7196338887596,"{0: 18, 1: 3, 2: 9, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-162.99044060239945,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
